 point#   1   Q1 =    0.0 Q2 =   60.0 Qother = 0.0 Energy =   8.35 kcal/mol
 point#  35   Q1 =   40.0 Q2 =  100.0 Qother = 0.0 Energy =  21.51 kcal/mol
 H     -2.05361168    -1.99489997    -0.00000320
 H      2.05361620     1.99489537     0.00000527
 H      1.00632751    -0.54690949    -0.00000246
 H     -1.00632125     0.54690311    -0.00000247
 O     -1.64713931    -0.04127384     0.15494835
 O      1.64714600     0.04126770     0.15495368
 O     -0.07090169    -1.64766724    -0.15495744
 O      0.07090762     1.64766040    -0.15495271
 C     -1.23385453    -1.26985506    -0.00000407
 C      1.23386061     1.26984885     0.00000198
 point#  36   Q1 =   40.0 Q2 =  110.0 Qother = 0.0 Energy =  20.80 kcal/mol
 H     -2.05361119    -1.99490046    -0.00000352
 H      2.05361629     1.99489528     0.00000580
 H      1.00632789    -0.54690973    -0.00000270
 H     -1.00632101     0.54690272    -0.00000272
 O     -1.64713899    -0.04127432     0.17044318
 O      1.64714632     0.04126754     0.17044905
 O     -0.07090122    -1.64766757    -0.17045318
 O      0.07090777     1.64766007    -0.17044798
 C     -1.23385410    -1.26985550    -0.00000447
 C      1.23386080     1.26984865     0.00000218
 point#  37   Q1 =   40.0 Q2 =  120.0 Qother = 0.0 Energy =  20.09 kcal/mol
 H     -2.05361071    -1.99490095    -0.00000385
 H      2.05361638     1.99489518     0.00000633
 H      1.00632827    -0.54690996    -0.00000294
 H     -1.00632078     0.54690232    -0.00000297
 O     -1.64713867    -0.04127480     0.18593801
 O      1.64714664     0.04126739     0.18594442
 O     -0.07090075    -1.64766789    -0.18594892
 O      0.07090792     1.64765974    -0.18594326
 C     -1.23385367    -1.26985593    -0.00000488
 C      1.23386099     1.26984846     0.00000238
 point#  38   Q1 =   40.0 Q2 =  130.0 Qother = 0.0 Energy =  19.41 kcal/mol
 H     -2.05361023    -1.99490144    -0.00000417
 H      2.05361647     1.99489509     0.00000686
 H      1.00632865    -0.54691019    -0.00000319
 H     -1.00632054     0.54690193    -0.00000321
 O     -1.64713835    -0.04127528     0.20143285
 O      1.64714697     0.04126723     0.20143978
 O     -0.07090028    -1.64766821    -0.20144466
 O      0.07090807     1.64765941    -0.20143853
 C     -1.23385324    -1.26985637    -0.00000529
 C      1.23386118     1.26984826     0.00000257
 point#  39   Q1 =   40.0 Q2 =  140.0 Qother = 0.0 Energy =  18.78 kcal/mol
 H     -2.05360975    -1.99490193    -0.00000449
 H      2.05361656     1.99489499     0.00000739
 H      1.00632904    -0.54691042    -0.00000343
 H     -1.00632031     0.54690153    -0.00000346
 O     -1.64713803    -0.04127575     0.21692768
 O      1.64714729     0.04126707     0.21693515
 O     -0.07089981    -1.64766854    -0.21694040
 O      0.07090822     1.64765907    -0.21693380
 C     -1.23385282    -1.26985681    -0.00000569
 C      1.23386137     1.26984806     0.00000277
 point#  40   Q1 =   40.0 Q2 =  150.0 Qother = 0.0 Energy =  18.20 kcal/mol
 H     -2.05360927    -1.99490243    -0.00000481
 H      2.05361665     1.99489490     0.00000791
 H      1.00632942    -0.54691065    -0.00000367
 H     -1.00632008     0.54690114    -0.00000371
 O     -1.64713772    -0.04127623     0.23242251
 O      1.64714761     0.04126692     0.23243052
 O     -0.07089934    -1.64766886    -0.23243614
 O      0.07090837     1.64765874    -0.23242908
 C     -1.23385239    -1.26985725    -0.00000610
 C      1.23386157     1.26984786     0.00000297
 point#  41   Q1 =   40.0 Q2 =  160.0 Qother = 0.0 Energy =  17.70 kcal/mol
 H     -2.05360878    -1.99490292    -0.00000513
 H      2.05361674     1.99489481     0.00000844
 H      1.00632980    -0.54691088    -0.00000392
